Repair_ID,Property_ID,Repair_Category,Priority,Reported_Date,Completed_Date,Resolution_Days,Repair_Cost,Satisfaction_Score
REP000025,P1012,Roofing,Emergency,2022-05-24,2022-05-27,3,729.16,7.6
REP000026,P0052,Heating,Routine,2023-12-18,2023-12-27,9,387.19,7.5
REP000027,P0091,Plumbing,Routine,11/05/2025,2025-05-21,10,218.45,7.1
REP000028,P0799,Electrical,Routine,2019-06-25,2019-06-28,3,410.1,7.0
REP000029,P0540,Heating,Routine,2024-11-09,15/11/2024,6,744.22,7.1
REP000030,P0438,Damp & Mould,Routine,26/02/2025,2025-03-14,16,589.26,4.1
REP000031,P0189,Heating,Emergency,2022-12-10,2022-12-13,3,1034.88,7.2
REP000032,P1087,Plumbing,Emergency,2025-09-13,2025-09-14,1,298.88,8.1
REP000033,P0450,Electrical,Urgent,2022-10-28,2022-10-29,1,185.27,6.8
REP000034,P0900,Heating,Urgent,2022-12-24,2022-12-31,7,667.95,
REP000035,P0842,Roofing,Routine,2023-07-01,09/07/2023,8,981.61,9.0
REP000036,P0371,Roofing,Routine,2020-02-19,2020-03-15,25,797.96,6.7
REP000037,P0536,Damp & Mould,Urgent,2021-04-28,2021-05-07,9,936.19,6.4
REP000038,P0824,Plumbing,Routine,2018-05-18,2018-05-27,9,447.95,9.5
REP000039,P1152,Heating,Routine,2024-06-04,2024-06-09,5,437.62,8.0
REP000040,P1146,Electrical,Routine,2024-05-21,2024-05-22,1,261.46,9.4
REP000041,P0529,Heating,Routine,2021-11-07,2021-11-14,7,444.77,7.7
REP000042,P0750,Electrical,Urgent,07/02/2024,2024-02-10,3,427.17,8.8
REP000043,P0610,Damp & Mould,Routine,2020-04-07,2020-05-10,33,865.59,3.9
REP000044,P0685,Plumbing,Routine,2022-05-06,2022-05-11,5,498.07,
REP000045,P0807,Damp & Mould,Routine,2022-08-23,22/09/2022,30,1092.16,1.4
REP000046,P0782,Electrical,Routine,2024-08-22,2024-08-26,4,137.92,6.4
REP000047,P0886,Plumbing,Routine,2018-06-17,26/06/2018,9,208.6,7.3
REP000048,P1323,Plumbing,Routine,2025-10-07,11/10/2025,4,128.47,7.2
REP000049,P1385,Electrical,Routine,27/12/2020,2021-01-02,6,291.85,7.8
REP000050,P0861,Roofing,Emergency,2023-11-20,2023-11-25,5,1809.58,8.9
REP000051,P1428,Security,Routine,09/05/2024,2024-05-12,3,244.77,7.5
REP000052,P0541,Damp & Mould,Routine,20/07/2024,14/08/2024,25,1102.82,4.7
REP000053,P0655,Electrical,Routine,2020-05-01,2020-05-06,5,327.28,8.5
REP000054,P0645,Roofing,Routine,2022-06-01,2022-06-11,10,584.83,6.1
REP000055,P1090,Heating,Routine,2024-12-06,2024-12-08,2,594.38,9.2
REP000056,P0429,Heating,Routine,2023-11-24,2023-12-01,7,745.79,7.1
REP000057,P0740,Electrical,Routine,,26/11/2025,7,342.34,6.9
REP000058,P0885,Electrical,Urgent,07/08/2020,2020-08-13,6,193.45,9.3
REP000059,P0182,Heating,Routine,2025-11-22,28/11/2025,6,595.66,8.0
REP000060,P0045,Plumbing,Urgent,15/06/2021,2021-06-24,9,482.79,
REP000061,P1314,Damp & Mould,Urgent,2020-08-01,22/08/2020,21,999.62,3.5
REP000062,P0328,Electrical,Urgent,28/02/2024,02/03/2024,3,383.24,8.1
REP000063,P0210,Damp & Mould,Routine,2021-08-14,2021-09-11,28,1201.78,1.7
REP000064,P1314,Plumbing,Routine,2024-05-02,2024-05-10,8,252.59,8.3
REP000065,P0402,Roofing,Urgent,2023-08-07,2023-08-19,12,669.49,9.0
REP000066,P1053,Heating,Emergency,2025-12-26,2025-12-30,4,900.87,7.7
REP000067,P0547,Security,Routine,2018-09-18,24/09/2018,6,160.17,6.7
REP000068,P0893,Heating,Routine,2024-11-04,2024-11-11,7,819.39,8.1
REP000069,P1230,Roofing,Urgent,2021-06-28,2021-07-09,11,384.9,8.1
REP000070,P0124,Roofing,Routine,2021-03-01,2021-03-09,8,477.48,
REP000071,P1361,Security,Emergency,2018-12-28,2018-12-30,2,611.9,9.1
REP000072,P0115,Security,Urgent,15/12/2022,16/12/2022,1,461.22,7.6
REP000073,P0308,Heating,Routine,2023-04-17,2023-04-20,3,345.69,8.7
REP000074,P0270,Electrical,Routine,2019-09-11,2019-09-14,3,318.59,7.8
REP000075,P0694,Plumbing,Urgent,2019-10-14,2019-10-22,8,411.8,
REP000076,P1136,Plumbing,Routine,2023-12-01,12/12/2023,11,312.64,6.1
REP000077,P0846,Electrical,Urgent,2023-10-23,2023-10-26,3,459.26,7.8
REP000078,P0676,Heating,Routine,2025-02-09,2025-02-16,7,439.91,6.4
REP000079,P1202,Roofing,Urgent,02/10/2025,2025-10-07,5,1377.79,8.1
REP000080,P0853,Plumbing,Urgent,2019-07-14,2019-07-17,3,698.8,7.7
REP000081,P0062,Security,Routine,2024-08-09,2024-08-14,5,443.19,9.5
REP000082,P0405,Roofing,Routine,2023-02-23,2023-03-11,16,1105.82,5.2
REP000083,P0594,Plumbing,Routine,2023-06-14,2023-06-19,5,590.76,7.3
REP000084,P0850,Plumbing,Emergency,2023-01-10,2023-01-13,3,692.56,6.7
REP000085,P0966,Plumbing,Routine,2019-11-23,2019-12-04,11,293.84,9.3
REP000086,P1393,Plumbing,Routine,2023-11-22,24/11/2023,2,364.68,6.7
REP000087,P0355,Heating,Urgent,23/12/2021,2021-12-27,4,582.19,9.2
REP000088,P1304,Plumbing,Urgent,2019-09-18,2019-09-26,8,764.86,6.3
REP000089,P0509,Damp & Mould,Urgent,2020-12-01,2020-12-21,20,546.24,4.9
REP000090,P0846,Plumbing,Routine,2022-08-21,2022-08-30,9,229.1,8.9
REP000091,P0671,Plumbing,Routine,27/08/2025,2025-09-02,6,307.6,8.3
REP000092,P1249,Heating,Routine,2023-04-03,2023-04-10,7,381.25,
REP000093,P1195,Roofing,Routine,2024-05-25,2024-06-11,17,834.67,4.4
REP000094,P0299,Heating,Routine,2020-05-13,2020-05-23,10,481.5,8.5
REP000095,P1459,Damp & Mould,Routine,23/05/2025,2025-06-29,37,1472.46,3.2
REP000096,P0921,Electrical,Routine,2023-08-17,2023-08-17,-3,297.4,6.5
REP000097,P0535,Electrical,Routine,2022-04-14,2022-04-17,3,278.17,7.5
REP000098,P0087,Heating,Urgent,2024-08-09,2024-08-17,8,364.64,6.3
REP000099,P1374,Security,Emergency,2023-07-12,2023-07-14,2,389.05,6.3
REP000100,P0381,Damp & Mould,Routine,2025-07-14,30/07/2025,16,1228.53,2.7
REP000101,P1036,Electrical,Emergency,2025-01-02,04/01/2025,2,448.98,8.3
REP000102,P0833,Plumbing,Routine,16/03/2023,18/03/2023,2,168.97,7.0
REP000103,P0092,Plumbing,Routine,2025-08-24,2025-08-30,6,188.13,6.5
REP000104,P1204,Electrical,Urgent,2021-08-04,2021-08-08,4,151.39,8.1
REP000105,P0848,Plumbing,Urgent,2018-03-08,2018-03-12,4,751.97,6.1
REP000106,P0693,Heating,Urgent,13/12/2018,21/12/2018,8,324.02,9.4
REP000107,P0895,Electrical,Emergency,2018-06-15,2018-06-16,1,570.98,7.6
REP000108,P0494,Plumbing,Routine,2021-12-08,2021-12-10,2,559.42,9.4
REP000109,P0115,Roofing,Routine,2021-03-28,2021-04-06,9,369.44,8.4
REP000110,P1402,Plumbing,Emergency,2018-03-24,2018-03-25,1,623.8,8.5
REP000111,P0103,Electrical,Urgent,2024-06-24,2024-06-27,3,487.65,7.7
REP000112,P1435,Roofing,Emergency,13/02/2022,2022-02-27,14,480.94,6.3
REP000113,P0903,Damp & Mould,Routine,2023-12-23,2024-01-20,28,1143.08,2.0
REP000114,P1315,Roofing,Routine,04/09/2024,2024-09-18,14,326.9,7.7
REP000115,P0490,Heating,Routine,2023-12-12,15/12/2023,3,530.05,8.3
REP000116,P0589,Electrical,Emergency,2022-12-10,2022-12-11,1,665.38,9.5
REP000117,P1170,Heating,Routine,2025-02-28,2025-03-06,6,294.92,7.9
REP000118,P1478,Heating,Emergency,2020-07-01,2020-07-03,2,1026.41,8.9
REP000119,P0041,Electrical,Emergency,2021-07-27,2021-07-28,1,362.32,8.9
REP000120,P0403,Security,Urgent,2024-11-06,2024-11-09,3,505.13,7.8
REP000121,P0102,Heating,Routine,29/12/2024,2024-12-31,2,737.32,7.4
REP000122,P1302,Plumbing,Routine,26/12/2024,2025-01-09,14,210.35,8.9
REP000123,P0492,Roofing,Routine,24/05/2025,2025-06-11,18,502.24,6.1
REP000124,P0853,Electrical,Urgent,2019-09-05,06/09/2019,1,467.85,7.0
REP000125,P1258,Security,Routine,2023-11-18,20/11/2023,2,311.89,6.4
REP000126,P1253,Heating,Routine,2024-11-19,2024-11-21,2,266.83,7.5
REP000127,P1390,Heating,Routine,2025-12-02,10/12/2025,8,597.67,8.7
REP000128,P0365,Plumbing,Urgent,22/10/2020,2020-10-27,5,441.88,8.0
REP000129,P0595,Electrical,Emergency,2021-10-06,2021-10-07,1,467.84,
REP000130,P1405,Electrical,Routine,2023-11-21,2023-11-22,1,429.2,7.7
REP000131,P0152,Security,Routine,2021-05-21,2021-05-23,2,386.78,8.4
REP000132,P0941,Heating,Routine,2021-02-19,26/02/2021,7,722.05,6.7
REP000133,P0944,Security,Routine,2023-06-01,2023-06-05,4,356.48,6.9
REP000134,P0615,Heating,Urgent,2025-05-20,2025-05-24,4,443.71,6.0
REP000135,P1312,Electrical,Routine,2019-04-05,2019-04-09,4,388.33,9.1
REP000136,P0077,Roofing,Urgent,2023-07-02,14/07/2023,12,840.2,9.1
REP000137,P0685,Security,Urgent,2020-01-06,2020-01-07,1,310.17,6.6
REP000138,P0171,Roofing,Urgent,2022-04-09,2022-04-19,10,1373.09,7.2
REP000139,P1356,Heating,Emergency,15/01/2019,2019-01-17,2,630.37,6.3
REP000140,P1297,Damp & Mould,Urgent,2019-07-17,2019-07-28,11,1521.29,6.8
REP000141,P0404,Plumbing,Urgent,2018-03-17,2018-03-23,6,721.31,7.5
REP000142,P1325,Electrical,Routine,06/09/2025,2025-09-07,1,494.21,6.6
REP000143,P0211,Electrical,Urgent,2022-09-04,2022-09-07,3,659.0,8.4
REP000144,P0248,Plumbing,Urgent,2023-03-01,2023-03-03,2,503.79,6.5
REP000145,P0630,Plumbing,Routine,2024-07-12,23/07/2024,11,437.98,8.1
REP000146,P0670,Security,Routine,2024-05-09,2024-05-15,6,414.41,8.8
REP000147,P0195,Damp & Mould,Emergency,2023-03-07,12/03/2023,5,1251.82,6.9
REP000148,P0026,Electrical,Emergency,2022-07-06,09/07/2022,3,357.61,6.0
REP000149,P0519,Damp & Mould,Routine,2025-01-27,2025-02-22,26,1232.19,4.4
REP000150,P1097,Electrical,Routine,2024-12-13,2024-12-22,9,522.3,9.0
REP000151,P0599,Roofing,Emergency,2021-04-23,2021-04-27,4,539.53,8.9
REP000152,P0297,Heating,Urgent,2023-05-06,2023-05-12,6,663.85,9.5
REP000153,P0890,Roofing,Routine,2021-10-18,01/11/2021,14,928.8,6.6
REP000154,P1328,Damp & Mould,Routine,2020-08-18,19/09/2020,32,1402.32,2.4
REP000155,P1333,Heating,Routine,2021-02-27,2021-03-02,3,685.12,7.1
REP000156,P0015,Roofing,Routine,2018-08-16,2018-08-27,11,1078.68,8.3
REP000157,P0710,Plumbing,Routine,25/03/2024,2024-03-27,2,640.42,7.3
REP000158,P0736,Plumbing,Urgent,2023-10-11,2023-10-16,5,659.54,8.1
REP000159,P1351,Electrical,Emergency,2019-01-20,2019-01-23,3,704.48,8.8
REP000160,P1240,Damp & Mould,Routine,03/05/2018,2018-05-27,24,1175.86,2.9
REP000161,P0955,Roofing,Routine,2021-11-06,2021-11-17,11,350.99,6.2
REP000162,P1486,Electrical,Urgent,2022-11-15,2022-11-20,5,225.72,7.5
REP000163,P1020,Roofing,Urgent,20/05/2019,2019-06-09,20,1439.04,7.0
REP000164,P0685,Roofing,Routine,27/11/2022,2022-12-04,7,611.05,8.5
REP000165,P1388,Heating,Emergency,2020-01-03,2020-01-04,1,393.43,9.4
REP000166,P0913,Electrical,Routine,2020-02-10,2020-02-19,9,184.99,6.1
REP000167,P0437,Electrical,Urgent,2020-02-02,2020-02-07,5,292.19,6.2
REP000168,P0689,Plumbing,Routine,2025-10-10,2025-10-13,3,231.7,8.4
REP000169,P1419,Electrical,Routine,2025-07-26,28/07/2025,2,419.2,9.3
REP000170,P0930,Electrical,Urgent,2025-06-28,2025-06-29,1,451.82,6.7
REP000171,P1259,Plumbing,Routine,2020-01-09,2020-01-19,10,340.34,7.1
REP000172,P0174,Electrical,Routine,2021-05-04,2021-05-05,1,502.93,6.1
REP000173,P0993,Roofing,Routine,2021-10-04,2021-10-28,24,472.07,5.4
REP000174,P0483,Electrical,Urgent,2023-05-01,2023-05-06,5,365.86,6.5
REP000175,P0728,Damp & Mould,Routine,02/03/2022,2022-03-23,21,1222.72,4.8
REP000176,P1058,Electrical,Routine,2025-08-23,2025-08-26,3,202.03,6.4
REP000177,P0287,Damp & Mould,Emergency,2022-01-25,2022-02-06,12,593.53,3.7
REP000178,P1008,Plumbing,Emergency,2022-02-01,2022-02-04,3,600.78,6.5
REP000179,P1020,Heating,Urgent,2025-11-04,2025-11-05,1,277.77,7.1
REP000180,P0460,Roofing,Emergency,10/03/2021,2021-03-20,10,1848.6,8.3
REP000181,P0438,Electrical,Emergency,2021-09-04,2021-09-07,3,811.99,6.9
REP000182,P0579,Roofing,Emergency,2021-01-03,10/01/2021,7,676.19,8.8
REP000183,P0199,Electrical,Emergency,2025-06-20,21/06/2025,1,170.57,9.2
REP000184,P0726,Roofing,Routine,2025-05-01,2025-05-25,24,546.14,5.3
REP000185,P0690,Plumbing,Routine,2019-10-27,2019-10-29,2,129.9,8.6
REP000186,P0739,Roofing,Urgent,2022-05-06,2022-05-22,16,899.31,5.2
REP000187,P0648,Roofing,Emergency,2024-02-22,28/02/2024,6,866.38,7.4
REP000188,P0675,Heating,Urgent,05/09/2023,2023-09-11,6,298.25,9.0
REP000189,P0065,Heating,Urgent,2023-12-27,2024-01-01,5,1058.47,8.2
REP000190,P0689,Heating,Routine,2025-11-19,2025-12-01,12,842.35,7.3
REP000191,P0989,Heating,Routine,26/01/2024,2024-01-30,4,226.12,8.0
REP000192,P1119,Plumbing,Routine,26/06/2025,2025-07-04,8,607.83,8.0
REP000193,P0778,Damp & Mould,Emergency,2019-01-28,2019-02-02,5,1213.82,4.4
REP000194,P0890,Heating,Routine,,2021-04-02,6,372.56,7.3
REP000195,P0608,Heating,Routine,2021-03-12,2021-03-14,2,697.63,8.0
REP000196,P1088,Plumbing,Urgent,2020-08-18,2020-08-26,8,291.26,9.0
REP000197,P0538,Plumbing,Routine,2023-12-20,28/12/2023,8,538.22,8.5
REP000198,P1395,Damp & Mould,Routine,2020-08-24,07/09/2020,14,1232.4,3.6
REP000199,P0265,Electrical,Emergency,2024-05-23,2024-05-24,1,207.91,7.4
REP000200,P0774,Heating,Emergency,2018-01-01,2018-01-03,2,780.14,8.7
REP000201,P0348,Roofing,Routine,2020-08-25,10/09/2020,16,772.33,5.1
REP000202,P0397,Damp & Mould,Emergency,2025-09-07,2025-09-20,13,926.87,4.4
REP000203,P0904,Roofing,Emergency,2021-11-21,28/11/2021,7,1003.16,8.3
REP000204,P0444,Roofing,Emergency,2023-08-08,2023-08-13,5,433.66,6.7
REP000205,P1164,Security,Emergency,15/04/2021,17/04/2021,2,178.02,7.7
REP000206,P0638,Electrical,Emergency,2020-11-23,2020-11-27,4,766.17,7.8
REP000207,P0121,Plumbing,Urgent,2025-02-28,2025-03-03,3,611.17,6.6
REP000208,P0847,Roofing,Emergency,2021-02-27,2021-03-06,7,1553.13,7.6
REP000209,P1272,Heating,Urgent,28/02/2018,01/03/2018,1,492.34,8.8
REP000210,P0097,Plumbing,Routine,2024-08-21,2024-08-29,8,473.72,9.5
REP000211,P0687,Heating,Routine,2020-04-13,2020-04-23,10,339.64,7.2
REP000212,P0276,Damp & Mould,Routine,2021-11-18,2021-12-11,23,1272.66,3.9
REP000213,P0606,Electrical,Urgent,2022-02-14,19/02/2022,5,641.56,9.1
REP000214,P1427,Roofing,Routine,2023-08-09,2023-08-23,14,346.94,9.3
REP000215,P0188,Plumbing,Routine,2025-09-20,2025-09-26,6,231.51,9.1
REP000216,P1373,Electrical,Routine,2022-04-15,2022-04-15,-1,343.41,7.4
REP000217,P0807,Roofing,Urgent,2024-12-19,2024-12-28,9,1222.29,9.4
REP000218,P0702,Roofing,Emergency,2023-07-16,2023-07-22,6,634.73,8.7
REP000219,P1203,Heating,Urgent,25/06/2020,2020-07-01,6,720.77,9.1
REP000220,P1339,Electrical,Routine,2021-01-07,2021-01-11,4,383.77,6.7
REP000221,P1098,Plumbing,Routine,2025-12-26,2026-01-06,11,141.44,7.7
REP000222,P0491,Heating,Urgent,2022-12-19,2022-12-21,2,900.24,7.4
REP000223,P0782,Heating,Routine,2020-11-30,2020-12-08,8,808.29,8.6
REP000224,P0879,Heating,Emergency,2025-05-03,2025-05-05,2,855.65,8.5
REP000225,P0425,Damp & Mould,Routine,21/02/2020,2020-03-06,14,1008.61,6.2
REP000226,P0644,Electrical,Emergency,2025-12-27,2025-12-28,1,526.38,8.5
REP000227,P0860,Plumbing,Routine,2019-06-27,2019-07-09,12,409.1,7.4
REP000228,P0473,Plumbing,Routine,27/11/2024,03/12/2024,6,435.52,8.3
REP000229,P0971,Damp & Mould,Urgent,2022-08-13,2022-08-22,9,1160.34,4.4
REP000230,P0657,Security,Emergency,2023-01-10,2023-01-12,2,447.99,7.8
REP000231,P0565,Damp & Mould,Emergency,2019-11-23,2019-12-05,12,898.83,4.9
REP000232,P1405,Heating,Emergency,2020-05-14,2020-05-17,3,549.77,6.9
REP000233,P1161,Roofing,Urgent,2018-02-04,2018-02-11,7,1010.06,6.9
REP000234,P0761,Heating,Urgent,2024-11-11,2024-11-13,2,588.88,7.6
REP000235,P0928,Security,Routine,17/11/2021,2021-11-21,4,220.28,7.5
REP000236,P0417,Roofing,Routine,2023-12-24,2024-01-10,17,657.38,8.2
REP000237,P1195,Security,Routine,09/03/2024,16/03/2024,7,291.09,8.1
REP000238,P0582,Heating,Routine,19/02/2019,2019-02-27,8,709.37,9.5
REP000239,P1013,Roofing,Routine,2018-11-26,12/12/2018,16,761.46,4.7
REP000240,P0255,Roofing,Routine,2019-10-02,2019-10-19,17,865.81,5.1
REP000241,P0193,Plumbing,Urgent,2021-11-26,2021-11-30,4,397.91,7.0
REP000242,P1380,Electrical,Routine,02/04/2018,2018-04-10,8,388.75,7.0
REP000243,P0580,Electrical,Urgent,2023-01-16,20/01/2023,4,508.35,9.0
REP000244,P1311,Security,Routine,2025-01-05,2025-01-08,3,144.12,6.0
REP000245,P1388,Plumbing,Routine,2020-08-16,2020-08-29,13,302.65,7.4
REP000246,P0462,Heating,Urgent,2022-08-04,2022-08-07,3,403.97,6.9
REP000247,P0262,Electrical,Urgent,2018-03-03,2018-03-07,4,236.48,9.0
REP000248,P0968,Electrical,Routine,2023-09-06,2023-09-12,6,527.98,8.9
REP000249,P0922,Security,Routine,2019-03-15,2019-03-18,3,371.23,8.3
REP000250,P0184,Plumbing,Routine,2020-01-27,06/02/2020,10,159.32,7.0
REP000251,P0804,Plumbing,Urgent,2020-12-25,2021-01-04,10,209.99,8.4
REP000252,P0950,Electrical,Urgent,23/07/2025,2025-07-26,3,169.36,9.2
REP000253,P0988,Heating,Routine,2023-12-02,03/12/2023,1,267.87,8.2
REP000254,P1322,Security,Routine,2023-05-13,2023-05-16,3,165.85,9.4
REP000255,P0863,Electrical,Urgent,,2022-07-18,6,539.33,8.6
REP000256,P1014,Heating,Routine,2023-02-26,2023-03-08,10,709.42,8.0
REP000257,P1312,Security,Routine,2021-12-08,2021-12-12,4,227.51,6.9
REP000258,P0262,Plumbing,Routine,2023-06-16,2023-06-28,12,256.9,6.8
REP000259,P0295,Security,Urgent,2018-03-20,2018-03-25,5,215.76,6.6
REP000260,P0411,Heating,Routine,2021-12-06,2021-12-12,6,745.18,7.1
REP000261,P0944,Roofing,Routine,2023-04-20,2023-04-28,8,890.52,8.6
REP000262,P0898,Electrical,Urgent,2024-07-13,2024-07-19,6,289.71,8.9
REP000263,P1061,Plumbing,Urgent,2023-12-01,2023-12-08,7,397.22,6.6
REP000264,P0300,Heating,Routine,2025-12-16,2025-12-21,5,728.13,7.9
REP000265,P0113,Damp & Mould,Urgent,2020-04-25,08/05/2020,13,1541.92,4.6
REP000266,P1228,Damp & Mould,Urgent,28/07/2018,2018-08-18,21,1231.97,4.4
REP000267,P0347,Plumbing,Urgent,2022-01-25,2022-01-29,4,645.91,7.3
REP000268,P0855,Roofing,Urgent,2022-05-02,2022-05-19,17,991.23,
REP000269,P0549,Plumbing,Routine,2020-11-27,2020-12-02,5,597.32,9.4
REP000270,P0324,Heating,Routine,2021-11-17,17/11/2021,-2,337.16,6.5
REP000271,P0809,Electrical,Routine,25/05/2019,2019-05-26,1,163.24,6.9
REP000272,P0072,Roofing,Urgent,2023-10-01,2023-10-20,19,1141.15,5.3
REP000273,P1414,Heating,Routine,13/08/2019,2019-08-22,9,322.6,7.1
REP000274,P1046,Security,Urgent,2023-02-11,2023-02-13,2,188.02,6.2
REP000275,P0989,Damp & Mould,Routine,2018-05-02,2018-05-15,13,1028.3,5.2
REP000276,P1314,Heating,Routine,2024-11-01,2024-11-09,8,342.65,6.3
REP000277,P0383,Electrical,Urgent,21/03/2023,2023-03-22,1,385.36,8.5
REP000278,P0343,Roofing,Urgent,24/02/2018,2018-03-09,13,496.06,9.5
REP000279,P0278,Security,Emergency,2023-02-11,2023-02-12,1,551.37,
REP000280,P0613,Heating,Routine,2023-04-21,2023-04-23,2,371.68,7.0
REP000281,P0661,Roofing,Emergency,2022-09-11,2022-09-15,4,538.59,7.8
REP000282,P0015,Electrical,Routine,2018-11-15,22/11/2018,7,494.16,7.1
REP000283,P0905,Damp & Mould,Routine,2025-04-24,2025-05-09,15,533.23,5.9
REP000284,P0396,Plumbing,Urgent,2021-07-18,2021-07-19,1,173.27,7.1
REP000285,P1307,Electrical,Urgent,2025-02-24,2025-02-25,1,359.14,7.5
REP000286,P0400,Electrical,Emergency,2022-01-15,2022-01-16,1,809.39,8.3
REP000287,P0562,Roofing,Urgent,2024-08-26,2024-09-09,14,1306.87,7.2
REP000288,P0992,Heating,Urgent,2024-01-11,2024-01-13,2,751.89,9.1
REP000289,P0717,Security,Urgent,2020-08-15,2020-08-19,4,157.78,8.2
REP000290,P1156,Electrical,Routine,2023-12-17,2023-12-24,7,198.69,9.3
REP000291,P1402,Electrical,Urgent,2022-01-27,2022-01-30,3,392.62,8.8
REP000292,P0546,Heating,Urgent,2021-01-24,2021-01-31,7,840.26,7.9
REP000293,P0319,Plumbing,Urgent,2021-04-28,2021-05-03,5,505.35,6.4
REP000294,P0239,Plumbing,Routine,2019-06-13,2019-06-18,5,633.19,7.4
REP000295,P0445,Heating,Urgent,2022-01-12,2022-01-14,2,915.81,9.0
REP000296,P0696,Plumbing,Routine,11/10/2022,2022-10-21,10,590.87,7.9
REP000297,P0776,Heating,Emergency,2020-11-04,07/11/2020,3,1009.53,8.3
REP000298,P0906,Damp & Mould,Urgent,07/06/2021,2021-07-06,29,1524.39,3.9
REP000299,P0648,Roofing,Urgent,2019-09-08,2019-09-25,17,983.28,6.0
REP000300,P0403,Security,Emergency,2019-03-09,2019-03-11,2,271.93,8.2
REP000301,P0422,Damp & Mould,Routine,2019-05-21,2019-06-10,20,1116.44,4.8
REP000302,P0914,Security,Routine,2020-02-17,2020-02-21,4,103.48,7.5
REP000303,P1191,Heating,Emergency,2018-12-24,25/12/2018,1,1265.91,6.7
REP000304,P1272,Electrical,Routine,2021-11-05,07/11/2021,2,162.22,8.2
REP000305,P1267,Plumbing,Urgent,2025-09-09,2025-09-11,2,246.07,6.5
REP000306,P1001,Damp & Mould,Routine,2024-02-23,2024-03-18,24,1356.51,4.4
REP000307,P0895,Heating,Routine,2020-12-01,2020-12-08,7,777.56,9.0
REP000308,P0639,Damp & Mould,Emergency,07/10/2023,2023-10-19,12,531.33,6.4
REP000309,P0889,Electrical,Routine,2023-09-21,30/09/2023,9,125.36,6.7
REP000310,P0036,Security,Urgent,2019-03-03,2019-03-04,1,306.66,7.3
REP000311,P0048,Roofing,Emergency,19/06/2022,2022-06-22,3,1155.78,7.3
REP000312,P0964,Roofing,Routine,27/01/2023,2023-02-12,16,830.26,7.5
REP000313,P1489,Plumbing,Routine,2020-06-03,2020-06-06,3,578.93,7.0
REP000314,P0169,Damp & Mould,Routine,28/03/2020,2020-04-25,28,522.81,4.0
REP000315,P1279,Plumbing,Urgent,2018-03-02,2018-03-06,4,170.97,8.0
REP000316,P0264,Plumbing,Urgent,2023-08-11,2023-08-15,4,837.4,8.1
REP000317,P1260,Heating,Emergency,2024-12-01,2024-12-02,1,979.16,9.1
REP000318,P1016,Damp & Mould,Emergency,2020-11-13,29/11/2020,16,898.45,2.6
REP000319,P0788,Damp & Mould,Urgent,2021-01-17,2021-02-03,17,806.91,5.9
REP000320,P0408,Damp & Mould,Urgent,2018-12-06,2018-12-14,8,1457.13,4.7
REP000321,P0853,Heating,Routine,10/01/2023,2023-01-18,8,449.28,6.4
REP000322,P0734,Roofing,Routine,2019-01-05,2019-01-20,15,416.8,6.5
REP000323,P0169,Heating,Routine,17/11/2022,2022-11-24,7,465.27,6.9
REP000324,P0790,Plumbing,Routine,2023-11-04,2023-11-10,6,225.96,9.4
REP000325,P0523,Electrical,Urgent,2025-04-02,2025-04-04,2,658.17,7.2
